doc_idxs,tokens,tags,clidxs,base_forms
ru-137,Об этом сообщает 4 ноября BBC News,O O O O O B_ORG I_ORG,O O O O O B_ORG-BBC-News-Russian I_ORG-BBC-News-Russian,O O O O O BBC News
ru-137,"Ашик Масих обратился , в частности , к британскому премьер-министру Терезе Мэй",B_PER I_PER O O O O O O O O B_PER I_PER,B_PER-Ashiq-Masih I_PER-Ashiq-Masih O O O O O O O O B_PER-Theresa-May I_PER-Theresa-May,Ашик Масих O O O O O O O O Тереза Мэй
ru-137,"Мужчина заявил , что жизни его родных угрожает опасность .",O O O O O O O O O O,O O O O O O O O O O,O O O O O O O O O O
ru-137,"Читайте также : В Пакистане приговор для христианки , оскорбившей пророка Сообщается также , что 3 ноября за пределы Пакистана",O O O O B_LOC O O O O O O O O O O O O O O B_LOC,O O O O B_GPE-Pakistan O O O O O O O O O O O O O O B_GPE-Pakistan,O O O O Пакистан O O O O O O O O O O O O O O Пакистан
ru-137,"Как сообщало ИА REGNUM у власти Пакистана ой казни за богохульство , однако в конце октября 2018 года верховный суд Пакистана",O O B_ORG I_ORG O O B_LOC O O O O O O O O O O O B_ORG I_ORG I_ORG,O O B_ORG-REGNUM-News-Agency I_ORG-REGNUM-News-Agency O O B_GPE-Pakistan O O O O O O O O O O O B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan,O O ИА REGNUM O O Пакистан O O O O O O O O O O O верховный суд Пакистана
ru-137,Радикальные исламисты протестуют против отмены казни Биби йска .,O O O O O O B_PER O O,O O O O O O B_PER-Asia-Bibi O O,O O O O O O Биби O O
ru-137,Читайте также : Власти Пакистана ламабад и Лахор те её и нажмите,O O O O B_LOC O O B_LOC O O O O,O O O O B_GPE-Pakistan O O B_GPE-Lahore O O O O,O O O O Пакистан O O Лахор O O O O
ru-127,"Правительство Пакистана лку с исламистской политической партией , чтобы остановить возможный отъезд из страны Асии Биби",O B_LOC O O O O O O O O O O O O B_PER I_PER,O B_GPE-Pakistan O O O O O O O O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O Пакистан O O O O O O O O O O O O Асии Биби
ru-127,"Об этом сообщает "" "" со ссылкой на Сatholic Нerald",O O O O O O O O B_ORG I_ORG,O O O O O O O O B_ORG-Catholic-Herald I_ORG-Catholic-Herald,O O O O O O O O Сatholic Нerald
ru-127,"После вспышки протестов в Пакистане би правительство , как сообщается , начало процесс , в результате которого ее имя будет добавлено в список людей , которым запрещено покидать страну .",O O O O B_LOC O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O B_GPE-Pakistan O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O Пакистан O O O O O O O O O O O O O O O O O O O O O O O O O
ru-127,Согласно данным пакистанского издания « Dawn исламистской политической партией « Техрик-и-Лаббаик Пакистан,O O O O O B_ORG O O O O B_ORG I_ORG,O O O O O B_ORG-Dawn-News O O O O B_ORG-Tehreek-e-Labbaik-Pakistan I_ORG-Tehreek-e-Labbaik-Pakistan,O O O O O Dawn O O O O Техрик-и-Лаббаик Пакистан
ru-127,Тысячи разгневанных демонстрантов недавно вышли на улицы в крупных городах — Исламабаде,O O O O O O O O O O O B_LOC,O O O O O O O O O O O B_GPE-Islamabad,O O O O O O O O O O O Исламабад
ru-127,"По сообщению издания « Dawn партия TLP во согласилось пересмотреть апелляцию об оправдании Асии Биби покинуть страну , Асия Биби",O O O O B_ORG O B_ORG O O O O O O B_PER I_PER O O O B_PER I_PER,O O O O B_ORG-Dawn-News O B_ORG-Tehreek-e-Labbaik-Pakistan O O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O O O Dawn O TLP O O O O O O Асии Биби O O O Асия Биби
ru-127,Премьер-министр Имран Хан миру .,O B_PER I_PER O O,O B_PER-Imran-Khan I_PER-Imran-Khan O O,O Имран Хан O O
ru-127,"Имран Хан был избран после публичного заявления в поддержку пакистанских законов о «богохульстве » , что многие комментаторы считают умиротворением жестких избирателей и отказом от его прошлой платформы популиста-реформиста .",B_PER I_PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B_PER-Imran-Khan I_PER-Imran-Khan O O O O O O O O O O O O O O O O O O O O O O O O O O O O,Имран Хан O O O O O O O O O O O O O O O O O O O O O O O O O O O O
ru-127,"Некоторые лица в пакистанском правительстве отрицают , что имя Асии Биби",O O O O O O O O O B_PER I_PER,O O O O O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O O O O O O O O Асии Биби
ru-127,"Ее текущее местонахождение неизвестно , по некоторым данным , ее содержат в охраняемом месте .",O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O
ru-127,"В рамках упомянутого соглашения правительство Пакистана ан в течение четырех дней протестов , а TLP",O O O O O B_LOC O O O O O O O O B_ORG,O O O O O B_GPE-Pakistan O O O O O O O O B_ORG-Tehreek-e-Labbaik-Pakistan,O O O O O Пакистан O O O O O O O O TLP
ru-127,"Асия Биби была оправдана от обвинений в «богохульстве » , и смертный приговор ей был отменен 30 октября 2018 года .",B_PER I_PER O O O O O O O O O O O O O O O O O O O,B_PER-Asia-Bibi I_PER-Asia-Bibi O O O O O O O O O O O O O O O O O O O,Асия Биби O O O O O O O O O O O O O O O O O O O
ru-127,Протесты против ее освобождения начались почти сразу .,O O O O O O O O,O O O O O O O O,O O O O O O O O
ru-127,В июне 2009 года обвинения в «богохульстве » адрес Асии Биби,O O O O O O O O O B_PER I_PER,O O O O O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O O O O O O O O Асии Биби
ru-127,"Асия Биби , чья семья была единственной христианской семьей в ее деревне , пыталась выпить из чашки воды , которая ранее использовалась мусульманами .",B_PER I_PER O O O O O O O O O O O O O O O O O O O O O O,B_PER-Asia-Bibi I_PER-Asia-Bibi O O O O O O O O O O O O O O O O O O O O O O,Асия Биби O O O O O O O O O O O O O O O O O O O O O O
ru-127,"Ей сказали , что она не может это сделать , поскольку она «нечиста » из-за своей христианской веры .",O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O
ru-127,В ответ Асия Биби ысказала пренебрежительные замечания об исламском пророке Мухаммаде,O O B_PER I_PER O O O O O O B_PER,O O B_PER-Asia-Bibi I_PER-Asia-Bibi O O O O O O B_PER-Prophet-Muhammad,O O Асия Биби O O O O O O Мухаммад
ru-127,Несколько дней спустя о «преступлении » Асии Биби,O O O O O O B_PER I_PER,O O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O O O O O Асии Биби
ru-127,Она стала первой женщиной-немусульманкой в Пакистане,O O O O O B_LOC,O O O O O B_GPE-Pakistan,O O O O O Пакистан
ru-127,"Асия Биби и ее семья говорят , что она полностью невиновна , и обвинения в ее адрес были измышлены .",B_PER I_PER O O O O O O O O O O O O O O O O O O,B_PER-Asia-Bibi I_PER-Asia-Bibi O O O O O O O O O O O O O O O O O O,Асия Биби O O O O O O O O O O O O O O O O O O
ru-89,Image caption Последние восемь лет с момента вынесения смертного приговора Асия Биби,O O O O O O O O O O B_PER I_PER,O O O O O O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O O O O O O O O O Асия Биби
ru-89,Пакистанский суд отменил смертный приговор местной христианке Асии Биби,B_ORG I_ORG O O O O O B_PER I_PER,B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,Пакистанский суд O O O O O Асия Биби
ru-89,"Это решение суда вызвало многочисленные протесты в разных городах страны , которые вылились в беспорядки и акты насилия .",O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O
ru-89,В 2010 году Асию новной в оскорблении пророка Мухаммеда,O O O B_PER O O O O B_PER,O O O B_PER-Asia-Bibi O O O O B_PER-Prophet-Muhammad,O O O Асия O O O O Мухаммед
ru-89,"Сама она утверждала , что невиновна .",O O O O O O O,O O O O O O O,O O O O O O O
ru-89,Большую часть из последних восьми лет женщина провела в одиночной камере .,O O O O O O O O O O O O,O O O O O O O O O O O O,O O O O O O O O O O O O
ru-89,"Нынешнее решение суда вызвало всплеск недовольства среди консервативных мусульман , поддерживающих жесткие наказания за богохульство .",O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O
ru-89,Премьер-министр Пакистана ился с критикой на сторонников жесткой линии и призвал население к спокойствию .,O B_LOC O O O O O O O O O O O O O,O B_GPE-Pakistan O O O O O O O O O O O O O,O Пакистан O O O O O O O O O O O O O
ru-89,"В специальном телеобращении к стране глава правительства заявил , что радикально настроенные элементы разжигают ненависть ради достижения собственных политических целей и что их действия не идут на пользу исламу .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
ru-89,Масштабные демонстрации протеста проходят в Карачи,O O O O O B_LOC,O O O O O B_GPE-Karachi,O O O O O Карачи
ru-89,Сообщается о случаях столкновений протестующих с полицией .,O O O O O O O O,O O O O O O O O,O O O O O O O O
ru-89,"Лидер исламистской партии TLP ил , что все трое судей Верховного суда",O O O B_ORG O O O O O O B_ORG I_ORG,O O O B_ORG-Tehreek-e-Labbaik-Pakistan O O O O O O B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan,O O O TLP O O O O O O Верховный суд
ru-89,"В Исламабаде олиция оцепила центральную часть города , где находится Верховный суд одразделения .",O B_LOC O O O O O O O O B_ORG I_ORG O O,O B_GPE-Islamabad O O O O O O O O B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan O O,O Исламабад O O O O O O O O Верховный суд O O
ru-89,Правообладатель иллюстрации ARSHAD ARBAB Image caption В ряде городов Пакистана,O O O O O O O O O B_LOC,O O O O O O O O O B_GPE-Pakistan,O O O O O O O O O Пакистан
ru-89,Главный судья Сахиб Нисар снятии обвинений с Асии Биби покинуть тюрьму в Шекхупуре,O O B_PER I_PER O O O B_PER I_PER O O O B_LOC,O O B_PER-Mian-Saqib-Nisar I_PER-Mian-Saqib-Nisar O O O B_PER-Asia-Bibi I_PER-Asia-Bibi O O O B_GPE-Shekhupura,O O Сахиб Нисар O O O Асия Биби O O O Шекхупура
ru-89,"Она не присутствовала в суде во время оглашения вердикта , но , как сообщается , новость ее очень удивила .",O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O
ru-89,""" Не могу поверить в это .",O O O O O O O,O O O O O O O,O O O O O O O
ru-89,Мне теперь можно будет выйти ?,O O O O O O,O O O O O O,O O O O O O
ru-89,"Они правда меня отпустят ? """,O O O O O O,O O O O O O,O O O O O O
ru-89,"- сказала она по телефону , когда узнала о своем освобождении , сообщает Франс пресс",O O O O O O O O O O O O O B_ORG I_ORG,O O O O O O O O O O O O O B_ORG-AFP-Agence-France-Press I_ORG-AFP-Agence-France-Press,O O O O O O O O O O O O O Франс пресс
ru-89,В чем ее обвиняли ?,O O O O O,O O O O O,O O O O O
ru-89,"Обвинения против матери двоих детей Биби на работала в поле и у нее произошла ссора с несколькими женщинами-мусульманками , работавшими вместе с ней .",O O O O O B_PER O O O O O O O O O O O O O O O O O O,O O O O O B_PER-Asia-Bibi O O O O O O O O O O O O O O O O O O,O O O O O Биби O O O O O O O O O O O O O O O O O O
ru-89,"Согласно ее показаниям , ей было поручено набрать воды .",O O O O O O O O O O,O O O O O O O O O O,O O O O O O O O O O
ru-89,"Когда она вернулась , некоторые из женщин принялись бранить ее , заявляя , что , будучи христианкой , она не имеет права прикасаться к кувшину с водой , так как оскверняет его своими руками , после чего между ними возникла перебранка .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
ru-89,"Во время судебных слушаний ей вменили в вину то , что во время ссоры женщины сказали Биби ельно высказалась о пророке Мухаммеде",O O O O O O O O O O O O O O O O B_PER O O O O B_PER,O O O O O O O O O O O O O O O O B_PER-Asia-Bibi O O O O B_PER-Prophet-Muhammad,O O O O O O O O O O O O O O O O Биби O O O O Мухаммед
ru-89,"Несколько дней спустя , по словам Биби одвергнута истязаниям со стороны разъяренной толпы , утверждавшей , что она оскорбила пророка Мухаммеда",O O O O O O B_PER O O O O O O O O O O O O O B_PER,O O O O O O B_PER-Asia-Bibi O O O O O O O O O O O O O B_PER-Prophet-Muhammad,O O O O O O Биби O O O O O O O O O O O O O Мухаммед
ru-89,"Ее обвинители заявили , что тогда она призналась в богохульстве .",O O O O O O O O O O O,O O O O O O O O O O O,O O O O O O O O O O O
ru-89,Вскоре она была арестована и приговорена к смерти .,O O O O O O O O O,O O O O O O O O O,O O O O O O O O O
ru-89,Анализ .,O O,O O,O O
ru-89,"Секундер Кермани , корреспондент Би-би-си",B_PER I_PER O O B_ORG,B_PER-Secunder-Kermani I_PER-Secunder-Kermani O O B_ORG-BBC-Ltd,Секундер Кермани O O Би-би-си
ru-89,"Суд огласил принятое решение очень быстро , безусловно , осознавая деликатность этого дела и опасность вспышки ожесточенных протестов .",O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O
ru-89,"Адвокат Биби го охранял полицейский , сообщил мне , что он доволен вынесенным вердиктом .",O B_PER O O O O O O O O O O O O O,O B_PER-Asia-Bibi O O O O O O O O O O O O O,O Биби O O O O O O O O O O O O O
ru-89,"Он отметил , что опасается за безопасность себя и своей подзащитной .",O O O O O O O O O O O O,O O O O O O O O O O O O,O O O O O O O O O O O O
ru-89,Даже после освобождения о деле Биби,O O O O O B_PER,O O O O O B_PER-Asia-Bibi,O O O O O Биби
ru-89,"Вскоре после того , как ее приговорили к смерти , в Пакистане Салман Тасир",O O O O O O O O O O O B_LOC B_PER I_PER,O O O O O O O O O O O B_GPE-Pakistan B_PER-Salmaan-Taseer I_PER-Salmaan-Taseer,O O O O O O O O O O O Пакистан Салман Тасир
ru-89,"Он поплатился жизнью за то , что выступал в защиту Биби е .",O O O O O O O O O O B_PER O O,O O O O O O O O O O B_PER-Asia-Bibi O O,O O O O O O O O O O Биби O O
ru-89,"Его убийца - Мумтаз Кадри , но у него появились последователи , которые построили в его честь специальное святилище в пригороде Исламабада",O O O B_PER I_PER O O O O O O O O O O O O O O O O B_LOC,O O O B_PER-Mumtaz-Qadri I_PER-Mumtaz-Qadri O O O O O O O O O O O O O O O O B_GPE-Islamabad,O O O Мумтаз Кадри O O O O O O O O O O O O O O O O Исламабад
ru-89,"Его сторонники организовали политическую партию , которая выступает за сохранение жестких законов о богохульстве .",O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O
ru-89,На прошедших в этом году выборах она получила 2 млн голосов .,O O O O O O O O O O O O,O O O O O O O O O O O O,O O O O O O O O O O O O
ru-89,"По мнению многих аналитиков , именно эта партия может стать инициатором волнений в ближайшие несколько дней .",O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O
ru-89,Что сказали в Верховном суде,O O O B_ORG I_ORG,O O O B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan,O O O Верховный суд
ru-89,"Судьи заявили , что сторона обвинения потерпела полный крах , пытаясь предоставить сколь-нибудь достоверные доказательства в деле .",O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O
ru-89,"Обвинение строилось на шатких свидетельствах , сказали они , и при этом не были соблюдены необходимые процедуры .",O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O
ru-89,"Предполагаемое признание было получено перед лицом разъяренной толпой , которая грозилась ее убить на месте .",O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O
ru-89,Текст судебного решения включает в себя множество отсылок к Корану,O O O O O O O O O B_PRO,O O O O O O O O O B_PRO-The-Quran,O O O O O O O O O Коран
ru-89,Оно заканчивается цитатой из Хадиса Мухаммеда к людям другой веры с добротой .,O O O O B_PRO B_PER O O O O O O O,O O O O B_PRO-Hadith B_PER-Prophet-Muhammad O O O O O O O,O O O O Хадис Мухаммед O O O O O O O
ru-89,Почему это дело так сильно разделило общество ?,O O O O O O O O,O O O O O O O O,O O O O O O O O
ru-89,Ислам является государственной религией Пакистана равосудия страны .,O O O O B_LOC O O O,O O O O B_GPE-Pakistan O O O,O O O O Пакистан O O O
ru-89,Значительная часть жителей поддерживает жесткое наказание за богохульство .,O O O O O O O O O,O O O O O O O O O,O O O O O O O O O
ru-89,"Консервативные политики часто высказываются в поддержку суровых наказаний - в основном , чтобы обеспечить себе поддержку на выборах .",O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O
ru-89,"Но критики утверждают , что законы о богохульстве нередко используются как инструмент для сведения счетов в бытовых конфликтах и обвинения строятся на крайне слабых доказательствах .",O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O
ru-89,Большинство осужденных по этим законам - мусульмане или члены общины Ахмади христианам .,O O O O O O O O O O B_ORG O O,O O O O O O O O O O B_ORG-Ahmadiyya-Muslim-Community O O,O O O O O O O O O O Ахмади O O
ru-89,"Они составляют 1,6 % населения страны .",O O O O O O O,O O O O O O O,O O O O O O O
ru-89,Правообладатель иллюстрации EPA Image caption Многие в Пакистане,O O O O O O O B_LOC,O O O O O O O B_GPE-Pakistan,O O O O O O O Пакистан
ru-89,"Последние несколько лет христиане в Пакистане ий , из-за чего у многих из них появилось чувство незащищенности .",O O O O O B_LOC O O O O O O O O O O O O,O O O O O B_GPE-Pakistan O O O O O O O O O O O O,O O O O O Пакистан O O O O O O O O O O O O
ru-89,"Некоторые нападения являются следствием обвинений в богохульстве , а некоторые - реакцией на военные действия , которые ведут США",O O O O O O O O O O O O O O O O O O B_LOC,O O O O O O O O O O O O O O O O O O B_GPE-USA,O O O O O O O O O O O O O O O O O O США
ru-89,"Пока по законам о богохульстве официально не казнили ни одного человека , но некоторым людям , обвиненным в этом , Асия",O O O O O O O O O O O O O O O O O O O O B_PER,O O O O O O O O O O O O O O O O O O O O B_PER-Asia-Bibi,O O O O O O O O O O O O O O O O O O O O Асия
ru-89,Она мать четверых детей .,O O O O O,O O O O O,O O O O O
ru-89,"Она стала первым человеком в стране , которому был вынесен смертный приговор за богохульство .",O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O
ru-89,Правообладатель иллюстрации AFP Image caption Губернатор Пенджаба .,O O O O O O B_LOC O,O O O O O O B_GPE-Punjab O,O O O O O O Пенджаб O
ru-89,В ноябре 2010 года он посетил Асию Биби,O O O O O O B_PER I_PER,O O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O O O O O Асия Биби
ru-89,Это судебное решение вызвало шквал критики в мире .,O O O O O O O O O,O O O O O O O O O,O O O O O O O O O
ru-89,В адрес пакистанских властей звучали обвинения в нарушении прав человека .,O O O O O O O O O O O,O O O O O O O O O O O,O O O O O O O O O O O
ru-89,Что будет дальше ?,O O O O,O O O O,O O O O
ru-89,"Существуют опасения , что оправдание Биби усульман-сторонников жесткой линии .",O O O O O B_PER O O O O,O O O O O B_PER-Asia-Bibi O O O O,O O O O O Биби O O O O
ru-89,Правообладатель иллюстрации AFP Image caption Муж и дочь Асии Биби,O O O O O O O O B_PER I_PER,O O O O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O O O O O O O Асия Биби
ru-89,"Как и ранее , когда проходили слушания дела Биби ась огромная толпа людей , которые требовали оставить в силе ее приговор и немедленно привести его в исполнение .",O O O O O O O O B_PER O O O O O O O O O O O O O O O O O O O,O O O O O O O O B_PER-Asia-Bibi O O O O O O O O O O O O O O O O O O O,O O O O O O O O Биби O O O O O O O O O O O O O O O O O O O
ru-89,"Несколько стран предложили женщине и ее семье политическое убежище , и она , скорее всего , покинет страну .",O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O
ru-89,"Члены ее семьи ранее говорили , что переживают за свою безопасность и хотели бы уехать из Пакистана",O O O O O O O O O O O O O O O O B_LOC,O O O O O O O O O O O O O O O O B_GPE-Pakistan,O O O O O O O O O O O O O O O O Пакистан
ru-116,"Радикалы вышли на улицы после того , как Верховный суд Пакистана и Асии Биби",O O O O O O O O B_ORG I_ORG I_ORG O B_PER I_PER,O O O O O O O O B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O O O O O O O Верховный суд Пакистана O Асия Биби
ru-116,"Они жгут на улицах ее портреты , призывают к публичной казни не только женщины , но и троих судей , оправдавших ее .",O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O
ru-116,Многодетная мать восемь лет находилась за решеткой по обвинению в богохульственных высказываниях .,O O O O O O O O O O O O O,O O O O O O O O O O O O O,O O O O O O O O O O O O O
ru-116,"31 октября судьи постановили , что доказательств ее вины недостаточно , а признательные показания она дала под давлением следствия .",O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O
ru-116,"Биби должны были отпустить еще в день оглашения приговора , однако власти опасаются за ее жизнь .",B_PER O O O O O O O O O O O O O O O O,B_PER-Asia-Bibi O O O O O O O O O O O O O O O O,Биби O O O O O O O O O O O O O O O O
ru-116,После освобождения женщина планирует покинуть Пакистан,O O O O O B_LOC,O O O O O B_GPE-Pakistan,O O O O O Пакистан
ru-116,Преследование за богохульство широко поддерживается населением Пакистан,O O O O O O B_LOC,O O O O O O B_GPE-Pakistan,O O O O O O Пакистан
ru-116,"Критики жестоких наказаний в рамках этой нормы говорят , что она часто используется как средство мести в личных конфликтах , а обвинения порой базируются на очень слабых доказательствах .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
ru-116,"Тем не менее пакистанские политики часто поддерживают суровую кару за неуважение к вере , чтобы сохранять популярность у электората — 96 процентов граждан страны исповедуют ислам суннитского толка .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
ru-116,"Как пишет « Би-би-си ство пока ни разу не казнило осужденных за богохульство , однако многие обвиняемые по этой статье стали жертвами самосуда .",O O O B_ORG O O O O O O O O O O O O O O O O O O O O,O O O B_ORG-BBC-Ltd O O O O O O O O O O O O O O O O O O O O,O O O Би-би-си O O O O O O O O O O O O O O O O O O O O
ru-116,В 2011 году в Исламабаде губернатор провинции Пенджаб,O O O O B_LOC O O B_LOC,O O O O B_GPE-Islamabad O O B_GPE-Punjab,O O O O Исламабад O O Пенджаб
ru-116,Мотивом к убийству послужило его критическое отношение к закону о богохульстве и предложение помиловать Асию Биби,O O O O O O O O O O O O O O B_PER I_PER,O O O O O O O O O O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O O O O O O O O O O O O O Асия Биби
ru-120,Суд в Пакистане ил смертный приговор для христианки Асии Биби,O O B_LOC O O O O O B_PER I_PER,O O B_GPE-Pakistan O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O Пакистан O O O O O Асия Биби
ru-120,"Женщину обвинили в оскорблении пророка Мухаммеда ла мусульманкам воды , которая , по их мнению , стала нечистой от прикосновения христианки к кувшину .",O O O O O B_PER O O O O O O O O O O O O O O O O O O,O O O O O B_PER-Prophet-Muhammad O O O O O O O O O O O O O O O O O O,O O O O O Мухаммед O O O O O O O O O O O O O O O O O O
ru-120,Осужденная отрицала свою вину .,O O O O O,O O O O O,O O O O O
ru-120,Решение суда вызвало протесты в ряде городов Пакистана,O O O O O O O B_LOC,O O O O O O O B_GPE-Pakistan,O O O O O O O Пакистан
ru-120,Несогласные с вердиктом перекрыли дороги .,O O O O O O,O O O O O O,O O O O O O
ru-120,В столице страны Исламабаде опасности .,O O O B_LOC O O,O O O B_GPE-Islamabad O O,O O O Исламабад O O
ru-120,Ряд политиков призвали к отставке правительства .,O O O O O O O,O O O O O O O,O O O O O O O
ru-120,"Асия Биби стала первой женщиной , приговоренной в Пакистане",B_PER I_PER O O O O O O B_LOC,B_PER-Asia-Bibi I_PER-Asia-Bibi O O O O O O B_GPE-Pakistan,Асия Биби O O O O O O Пакистан
ru-120,Обвинения в оскорблении мусульманского пророка вызвали несогласие в ряде государств .,O O O O O O O O O O O,O O O O O O O O O O O,O O O O O O O O O O O
ru-120,"В 2012 году власти Франции ь предоставить осужденной политическое убежище , а патриарх Московский Кирилл",O O O O B_LOC O O O O O O O O O B_PER,O O O O B_GPE-France O O O O O O O O O B_PER-Kirill-The-Patriarch-of-Moscow-and-all-Ru,O O O O Франция O O O O O O O O O Кирилл
ru-1044,Власти Англии или нового министра по делам Brexit,O B_LOC O O O O O B_EVT,O B_GPE-Great-Britain O O O O O B_EVT-Brexit,O Англии O O O O O Brexit
ru-1044,"Отмечается , что Дэвис знак несогласия с позицией по Brexit",O O O B_PER O O O O O B_EVT,O O O B_PER-David-Davis O O O O O B_EVT-Brexit,O O O Дэвис O O O O O Brexit
ru-1044,До нового назначения Рааб ителя министерства жилищного строительства,O O O B_PER O B_ORG I_ORG I_ORG,O O O B_PER-Dominic-Raab O B_ORG-Ministry-of-Housing-Communities-and-Local I_ORG-Ministry-of-Housing-Communities-and-Local I_ORG-Ministry-of-Housing-Communities-and-Local,O O O Рааб O министерство жилищного строительства
ru-1044,"Согласно плану английского руководства , после окончания процедуру Brexit т зону свободной торговли с европейскими государствами .",O O O O O O O O B_EVT O O O O O O O O,O O O O O O O O B_EVT-Brexit O O O O O O O O,O O O O O O O O Brexit O O O O O O O O
ru-1044,"После того , как Дэвис венной отставке , в прессе появились предположения , что его примеру могут последовать остальные члены кабмина",O O O O B_PER O O O O O O O O O O O O O O O B_ORG,O O O O B_PER-David-Davis O O O O O O O O O O O O O O O B_ORG-Cabinet-of-the-United-Kingdom,O O O O Дэвис O O O O O O O O O O O O O O O кабмин
ru-1044,"Рабу предстоит огромный объем работы , ведь Англия",B_PER O O O O O O B_LOC,B_PER-Dominic-Raab O O O O O O B_GPE-Great-Britain,Раб O O O O O O Англия
ru-1044,"Однако дело регулярно тормозится , а переговоры с ЕС",O O O O O O O O B_ORG,O O O O O O O O B_ORG-European-Union,O O O O O O O O ЕС
ru-1044,Как в данном важнейшем процессе несомненно поможет продвинуться прошлый министр по строительству — вопрос дискуссионный .,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O
ru-1118,Министр иностранных дел Великобритании тставку .,O O O B_LOC O O,O O O B_GPE-Great-Britain O O,O O O Великобритания O O
ru-1118,Он выразил несогласие с политикой премьер-министра Терезы Мэй де королевства из Евросоюза,O O O O O O B_PER I_PER O O O B_ORG,O O O O O O B_PER-Theresa-May I_PER-Theresa-May O O O B_ORG-European-Union,O O O O O O Тереза Мэй O O O Евросоюз
